date,value
2021-01-01,"1,644"
2021-02-01,"1,061"
2021-03-01,"1,309"
2021-04-01,353
2021-05-01,452
2021-06-01,"1,049"
2021-07-01,482
2021-08-01,324
2021-09-01,"1,079"
2021-10-01,"2,067"
2021-11-01,"1,345"
2021-12-01,"2,575"
2022-01-01,"4,445"
2022-02-01,"3,398"
2022-03-01,"4,606"
2022-04-01,"4,292"
2022-05-01,"3,880"
2022-06-01,"3,981"
2022-07-01,"1,213"
2022-08-01,575
2022-09-01,906
2022-10-01,509
2022-11-01,"1,319"
2022-12-01,"5,976"
2023-01-01,"3,577"
2023-02-01,"5,698"
2023-03-01,"3,954"
2023-04-01,"5,079"
2023-05-01,"4,317"
2023-06-01,"4,575"
2023-07-01,"4,325"
2023-08-01,"3,297"
2023-09-01,"2,486"
2023-10-01,"2,869"
2023-11-01,"3,693"
2023-12-01,"6,477"
2024-01-01,"3,633"
2024-02-01,"3,249"
2024-03-01,"5,792"
2024-04-01,"4,463"
2024-05-01,"5,347"
2024-06-01,"5,892"
2024-07-01,"4,725"
2024-08-01,"5,212"
2024-09-01,"2,263"
2024-10-01,"3,032"
2024-11-01,"3,468"
2024-12-01,"5,507"
